TimeElapsed,gpsLock,TimeLocal,Lat,Long,Alt,RoC,GndSpd,GndCrs,Acc,nSats,ExtTemp,BatTemp,IntTemp,Pres,PresAlt,PresRoC,BatVolt,BatCap,BatHeat,StateParachute,StateUpperCut,StateLowerCut
5126.6,T,104837.5,4645.41357,-11727.73535,591.86,0.80,10.82,49.5,3.34,17,22.07,17.43,32.42,94.41,595.65,-0.35,4.04,91.61,0.00,Wait,Wait,Wait
5127.1,T,104838.0,4645.41553,-11727.73242,592.22,0.78,10.33,48.8,3.20,17,22.06,17.43,32.42,94.39,597.06,0.44,4.05,92.10,0.00,Wait,Wait,Wait
5127.6,T,104838.5,4645.41748,-11727.72949,592.52,0.72,9.46,48.0,3.20,17,22.06,17.43,32.42,94.39,596.89,0.24,4.05,91.73,0.00,Wait,Wait,Wait
5128.1,T,104839.0,4645.41895,-11727.72656,592.72,0.57,8.48,47.6,3.20,17,22.05,17.43,32.42,94.39,597.60,0.54,4.04,91.61,0.00,Wait,Wait,Wait
5128.6,T,104839.5,4645.42041,-11727.72461,592.96,0.32,7.37,47.1,3.20,17,22.04,17.43,32.42,94.40,596.36,-0.23,4.05,92.10,0.00,Wait,Wait,Wait
5129.1,T,104840.0,4645.42139,-11727.72266,593.10,0.38,6.02,47.0,3.20,16,22.04,17.43,32.42,94.39,596.98,0.13,4.05,91.73,0.00,Wait,Wait,Wait
5129.6,T,104840.5,4645.42236,-11727.72168,593.28,0.38,4.50,46.7,3.20,16,22.03,17.43,32.42,94.39,597.06,0.15,4.05,91.73,0.00,Wait,Wait,Wait
5130.1,T,104841.0,4645.42285,-11727.72070,593.44,0.29,2.89,46.5,3.20,17,22.02,17.43,32.42,94.39,597.33,0.24,4.05,91.85,0.00,Wait,Wait,Wait
5130.6,T,104841.5,4645.42334,-11727.71973,593.54,0.24,1.35,46.7,3.28,17,22.02,17.43,32.42,94.39,597.51,0.27,4.05,91.85,0.00,Wait,Wait,Wait
5131.1,T,104842.0,4645.42334,-11727.71973,593.53,0.13,0.84,46.2,3.28,17,22.01,17.44,32.42,94.39,597.06,-0.02,4.05,91.85,0.00,Wait,Wait,Wait
5131.6,T,104842.5,4645.42383,-11727.71973,593.56,0.10,0.68,45.8,3.28,17,22.00,17.43,32.42,94.39,596.98,-0.06,4.05,91.73,0.00,Wait,Wait,Wait
5132.1,T,104843.0,4645.42383,-11727.71973,593.55,0.07,1.44,44.9,3.20,17,21.99,17.43,32.42,94.39,596.80,-0.13,4.05,92.22,0.00,Wait,Wait,Wait
5132.6,T,104843.5,4645.42432,-11727.71875,593.64,0.13,2.22,45.4,3.20,17,21.99,17.43,32.42,94.40,595.91,-0.54,4.05,91.98,0.00,Wait,Wait,Wait
5133.1,T,104844.0,4645.42480,-11727.71777,593.72,0.09,2.73,45.2,3.20,17,21.98,17.44,32.42,94.40,596.44,-0.14,4.05,91.73,0.00,Wait,Wait,Wait
5133.6,T,104844.5,4645.42529,-11727.71680,593.84,0.14,2.93,46.2,3.20,17,21.98,17.44,32.42,94.40,596.44,-0.10,4.04,91.61,0.00,Wait,Wait,Wait
5134.1,T,104845.0,4645.42578,-11727.71680,593.92,0.17,2.23,47.5,3.20,18,21.97,17.44,32.42,94.39,597.42,0.41,4.04,91.24,0.00,Wait,Wait,Wait
5134.6,T,104845.5,4645.42627,-11727.71582,593.92,0.10,1.84,49.7,3.20,18,21.96,17.44,32.42,94.39,597.06,0.13,4.04,91.49,0.00,Wait,Wait,Wait
5135.1,T,104846.0,4645.42627,-11727.71582,594.02,0.14,1.80,51.0,3.28,18,21.96,17.44,32.41,94.40,596.62,-0.12,4.04,91.49,0.00,Wait,Wait,Wait
5135.6,T,104846.5,4645.42676,-11727.71484,594.13,0.14,2.43,52.8,3.28,18,21.96,17.44,32.42,94.40,596.36,-0.22,4.05,91.85,0.00,Wait,Wait,Wait
